state,death_rate,death_abs
AK,8.4,41
AL,19.5,1097
AR,20,700
AZ,9.5,775
CA,14.8,6188
CO,12.3,659
CT,13.6,667
DE,16.1,189
FL,8.9,2676
GA,15.5,1467
HI,27.4,557
IA,14.2,618
ID,12.4,218
IL,15.7,2343
IN,13.9,1044
KS,18.9,682
KY,19.3,967
LA,15.3,753
MA,17.1,1512
MD,17.7,1176
ME,17.6,333
MI,15.2,1894
MN,10.9,738
MO,17.9,1337
MS,24,791
MT,13.7,183
NC,18.7,2115
ND,17.7,172
NE,16.9,397
NH,16.1,275
NJ,12.5,1402
NM,13.6,322
NV,21.3,630
NY,20,4881
OH,16.6,2445
OK,16.5,717
OR,9,453
PA,15.9,2899
RI,16.2,246
SC,15.3,848
SD,18.2,213
TN,23.3,1723
TX,13,3214
UT,15.7,372
VA,15.7,1416
VT,10,85
WA,10.7,851
WI,14.2,1052
WV,21.2,526
WY,16,99
